会社名,フリガナ,法人番号,許可番号,大臣知事区分,法人個人,郵便番号,所在地,代表者名,代表者フリガナ,資本金千円,Web,Instagram,経審ステータス,文化財入札,自社,比較対象外
有限会社屋根惣,,2130002020857,26-034820,京都府知事,法人,,京都府京都市右京区花園寺ノ前町２６,杉本惣一,,,,,有,有,,
甍技塾徳舛瓦店有限会社,,3130002000180,26-035361,京都府知事,法人,,京都府京都市右京区嵯峨天龍寺車道町１０,徳舛 秀治,,,,,有,有,,
有限会社彩色設計,,1130002025733,26-035614,京都府知事,法人,,京都府京都市西京区桂木ノ下町２５－８,小野村勇人,,,,,有,有,,
株式会社左官匠宮部,,3130001050029,26-036029,京都府知事,法人,,京都府京都市北区平野宮西町９７,宮部友之,,,,,有,有,,
左司,,,26-037710,京都府知事,個人,,京都府京都市中京区東洞院通蛸薬師下る元竹田町６３９－１１,小林常司,,,,,有,有,,
株式会社林工業,ハヤシコウギョウ,9130001054362,26-038049,京都府知事,法人,612-8491,京都市伏見区久我石原町7-8,林文雄,ハヤシフミオ,5000,,,有,,,
株式会社安井杢工務店,,6130001042386,26-038261,京都府知事,法人,,京都府向日市上植野町馬立2番地4,安井洋,,,,,有,有,,
株式会社北嶋社寺瓦工業,キタジマシャジカワラコウギョウ,2130001046770,26-039058,京都府知事,法人,617-0837,京都府長岡京市久貝３丁目７番１０号,北嶋志信,,,,,有,,,
株式会社若林工芸舎,,6130001027437,26-039877,京都府知事,法人,,京都府京都市下京区七条通新町東入西境町１４８－５,新谷和義,,,,,有,有,,
株式会社松村工務店,,2130001044493,26-040630,京都府知事,法人,,京都府宇治市菟道森本８－１０,松村直杉,,,,,有,有,,
株式会社奥谷組,,9130001010209,26-040843,京都府知事,法人,,京都市南区吉祥院向田東町8,千田真由美,,,,,有,有,,
株式会社澤野工務店,,,26-015222,京都府知事,法人,605-0069,京都府京都市東山区三条通南二筋目白川筋西入唐戸鼻町５５５－１,澤野茂治,サワノシゲハル,10000,,,有,,,
株式会社渕上,,4130001005394,26-000347,京都府知事許可,法人,603-8457,京都府京都市北区大宮上ノ岸町６２,渕上一,,,,,有,有,,
田中昭義左官株式会社,タナカアキヨシサカン,6130001055198,26-042868,京都府知事許可,法人,616-0023,京都府京都市西京区嵐山宮ノ前町３５－４,田中昭義,タナカアキヨシ,5000,,,有,,,
植彌加藤造園株式会社,ウエヤカトウゾウエン,8130001006612,26-037828,京都府知事許可,法人,606-8425,京都府京都市左京区鹿ヶ谷西寺ノ前町４５,加藤友規,カトウトモキ,42600,,,有,,,
株式会社イスルギ,,4220001001137,00-001739,国土交通大臣許可,法人,,石川県金沢市神田1丁目31番1号,石動嘉信,,,https://k-isurugi.co.jp,,有,,,
株式会社山陽瓦,サンヨウカワラ,5260001013383,00-009134,国土交通大臣許可,法人,710-0803,岡山県倉敷市中島2360-20,石井二郎,イシイジロウ,60000,,,有,,,
株式会社矢納組,,2130001022929,00-015051,国土交通大臣許可,法人,,京都府京都市南区吉祥院砂ノ町２０－２,本屋敷一樹,,11000,,,有,有,,
